Tempo,Estação,LAT,LONG,Movimentação,Original_473,Original_269,Zero,Maçã-Verde,Tangerina,Citrus,Açaí-Guaraná,Pêssego,TARGET,row
119,2019-01-06,República,-23.5436,-46.6434,109364,60,60,49,41,41,8,18,28,NORMAL,6846
120,2019-02-03,República,-23.5436,-46.6434,108710,49,49,5,30,13,13,7,12,REABASTECER,6873
121,2019-12-30,Tatuapé,-23.5402,-46.5765,69024,9,9,34,34,32,36,18,40,REABASTECER,6480
122,2018-01-03,República,-23.5436,-46.6434,108495,71,71,50,40,35,35,34,34,NORMAL,6483
123,2018-01-04,República,-23.5436,-46.6434,109284,62,62,46,34,30,33,29,30,NORMAL,6484
124,2018-01-11,República,-23.5436,-46.6434,111050,86,86,65,16,6,14,3,3,NORMAL,6491
125,2019-06-24,Barra Funda,-23.5542,-46.6707,150526,86,86,50,33,33,43,35,22,NORMAL,5574
126,2018-01-15,República,-23.5436,-46.6434,108537,50,50,36,43,31,43,31,33,NORMAL,6495
127,2019-07-21,Barra Funda,-23.5542,-46.6707,147535,86,86,60,5,6,14,17,7,REABASTECER,5601
128,2019-03-19,República,-23.5436,-46.6434,110053,46,46,1,24,41,35,35,6,REABASTECER,6919
129,2019-08-01,Barra Funda,-23.5542,-46.6707,149257,86,86,55,15,43,34,19,9,NORMAL,5611
130,2019-08-02,Barra Funda,-23.5542,-46.6707,148880,78,78,47,15,39,31,14,6,REABASTECER,5612
131,2019-04-05,República,-23.5436,-46.6434,108156,56,56,24,15,17,22,22,26,NORMAL,6935
132,2019-04-07,República,-23.5436,-46.6434,110220,32,32,8,11,9,15,11,18,REABASTECER,6937
133,2019-08-12,Barra Funda,-23.5542,-46.6707,147033,66,66,48,27,43,41,14,9,NORMAL,5622
134,2019-04-13,República,-23.5436,-46.6434,109363,58,58,37,32,22,5,25,40,REABASTECER,6943
135,2019-08-18,Barra Funda,-23.5542,-46.6707,147071,6,6,7,6,16,28,32,30,REABASTECER,5628
136,2019-04-19,República,-23.5436,-46.6434,107796,86,86,65,17,43,27,39,12,NORMAL,6949
137,2019-08-29,Barra Funda,-23.5542,-46.6707,147065,65,65,0,17,8,40,33,25,REABASTECER,5639
138,2019-05-15,República,-23.5436,-46.6434,110576,7,7,6,5,30,37,16,43,NORMAL,6975
139,2019-05-20,República,-23.5436,-46.6434,110219,45,45,38,34,10,22,38,23,NORMAL,6980
140,2019-05-24,República,-23.5436,-46.6434,107904,6,6,5,22,38,4,18,8,REABASTECER,6984
141,2019-06-06,República,-23.5436,-46.6434,108104,58,58,56,30,35,34,15,43,NORMAL,6996
142,2018-04-27,República,-23.5436,-46.6434,109674,86,86,5,32,4,19,22,11,REABASTECER,6597
143,2018-05-10,República,-23.5436,-46.6434,107809,47,47,45,21,38,34,18,43,NORMAL,6610
144,2019-06-21,República,-23.5436,-46.6434,107557,67,67,11,23,15,34,35,22,NORMAL,7011
145,2019-06-26,República,-23.5436,-46.6434,107211,19,19,45,8,40,16,20,43,NORMAL,7016
146,2019-11-02,Barra Funda,-23.5542,-46.6707,148936,47,47,33,13,17,33,43,24,NORMAL,5702
147,2019-07-18,República,-23.5436,-46.6434,108494,65,65,17,27,39,27,20,43,NORMAL,7038
148,2018-06-09,República,-23.5436,-46.6434,108107,9,9,46,19,15,43,39,11,NORMAL,6639
149,2018-06-15,República,-23.5436,-46.6434,108042,34,34,8,5,31,23,15,31,REABASTECER,6645
150,2018-06-20,República,-23.5436,-46.6434,109750,79,79,37,25,13,10,40,11,NORMAL,6650
151,2018-06-24,República,-23.5436,-46.6434,108558,30,30,16,18,38,42,22,39,NORMAL,6654
152,2018-06-26,República,-23.5436,-46.6434,111019,11,11,65,14,31,36,15,28,NORMAL,6656
153,2019-12-16,Barra Funda,-23.5542,-46.6707,150597,11,11,31,19,43,22,4,43,NORMAL,5746
154,2018-07-12,República,-23.5436,-46.6434,107710,24,24,19,15,10,23,26,9,NORMAL,6672
155,2019-12-20,Barra Funda,-23.5542,-46.6707,150441,55,55,65,8,25,12,33,31,NORMAL,5750
157,2018-01-22,Tatuapé,-23.5402,-46.5765,67697,47,47,50,37,38,30,36,43,NORMAL,5782
158,2018-02-05,Tatuapé,-23.5402,-46.5765,70596,6,6,10,43,19,35,21,35,NORMAL,5795
159,2018-09-01,República,-23.5436,-46.6434,108301,59,59,61,7,24,35,3,43,REABASTECER,6721
160,2019-10-13,República,-23.5436,-46.6434,110039,8,8,48,10,22,17,21,31,NORMAL,7123
161,2018-09-08,República,-23.5436,-46.6434,110754,73,73,19,27,43,12,21,25,NORMAL,6728
162,,Tatuapé,-23.5402,-46.5765,69890,16,16,48,19,20,33,21,27,NORMAL,5819
163,2018-10-01,República,-23.5436,-46.6434,111026,29,29,65,34,43,22,23,24,NORMAL,6751
164,2018-10-02,República,-23.5436,-46.6434,109045,21,21,60,29,37,21,20,22,NORMAL,6752
165,2018-04-01,Tatuapé,-23.5402,-46.5765,67085,53,53,15,19,26,35,8,16,NORMAL,5851
166,2018-04-03,Tatuapé,-23.5402,-46.5765,68907,38,38,65,13,18,30,43,6,NORMAL,5853
167,2018-04-05,Tatuapé,-23.5402,-46.5765,69458,16,16,49,12,9,29,32,40,REABASTECER,5855
168,2018-04-07,Tatuapé,-23.5402,-46.5765,69855,86,86,36,8,2,26,23,29,NORMAL,5857
169,2018-04-08,Tatuapé,-23.5402,-46.5765,67631,75,75,28,2,43,25,17,24,REABASTECER,5858
170,2018-04-10,Tatuapé,-23.5402,-46.5765,69159,55,55,13,39,34,15,13,17,NORMAL,5860
171,2018-04-12,Tatuapé,-23.5402,-46.5765,70138,35,35,65,36,24,11,4,10,REABASTECER,5862
172,2018-04-14,Tatuapé,-23.5402,-46.5765,68438,18,18,55,25,13,7,40,4,REABASTECER,5864
173,2018-04-15,Tatuapé,-23.5402,-46.5765,67388,5,5,48,24,9,3,37,43,NORMAL,5865
174,2018-11-14,República,-23.5436,-46.6434,107922,50,50,7,35,3,16,27,32,NORMAL,6794
175,2019-12-25,República,-23.5436,-46.6434,107184,22,22,60,43,20,36,40,32,NORMAL,7195
176,2018-04-26,Tatuapé,-23.5402,-46.5765,68985,86,86,37,29,43,40,29,43,NORMAL,5876
177,2018-04-29,Tatuapé,-23.5402,-46.5765,70927,55,55,19,22,30,30,18,32,NORMAL,5879
178,2018-05-03,Tatuapé,-23.5402,-46.5765,68301,16,16,56,5,16,23,5,15,NORMAL,5883
179,2018-12-04,República,-23.5436,-46.6434,110286,13,13,47,17,43,41,20,37,NORMAL,6814
180,2018-05-10,Tatuapé,-23.5402,-46.5765,70032,42,42,5,18,29,43,23,30,REABASTECER,5890
182,2018-02-18,Higienópolis-Mackenzie,-23.5488,-46.6519,90408,43,43,58,27,34,8,27,17,NORMAL,7248
183,2018-03-04,Higienópolis-Mackenzie,-23.5488,-46.6519,92163,62,62,23,23,17,43,3,43,REABASTECER,7264
184,2018-03-05,Higienópolis-Mackenzie,-23.5488,-46.6519,92166,51,51,14,22,11,38,43,37,NORMAL,7265
185,2018-04-02,Higienópolis-Mackenzie,-23.5488,-46.6519,90182,32,32,28,27,27,18,13,11,NORMAL,7292
186,2018-04-14,Higienópolis-Mackenzie,-23.5488,-46.6519,91161,7,7,28,43,19,35,43,7,NORMAL,7304
187,2018-04-17,Higienópolis-Mackenzie,-23.5488,-46.6519,92741,66,66,3,35,6,29,35,38,NORMAL,7307
188,2018-05-06,Higienópolis-Mackenzie,-23.5488,-46.6519,92105,37,37,65,16,14,13,30,43,REABASTECER,7326
189,2018-08-21,Tatuapé,-23.5402,-46.5765,69349,86,86,4,28,43,29,10,8,REABASTECER,5991
190,2018-08-22,Tatuapé,-23.5402,-46.5765,70080,78,78,65,26,38,26,5,6,NORMAL,5992
191,2018-08-29,Tatuapé,-23.5402,-46.5765,68183,8,8,14,5,10,8,14,18,NORMAL,5999
192,2018-09-11,Tatuapé,-23.5402,-46.5765,68909,73,73,65,5,43,12,4,13,REABASTECER,6011
193,2018-06-12,Higienópolis-Mackenzie,-23.5488,-46.6519,93242,23,23,55,37,35,12,23,29,NORMAL,7362
194,2018-06-19,Higienópolis-Mackenzie,-23.5488,-46.6519,90350,50,50,14,12,40,30,39,43,NORMAL,7369
195,2019-05-09,República,-23.5436,-46.6434,110559,67,67,51,34,17,11,41,25,NORMAL,6969
196,2018-10-01,Tatuapé,-23.5402,-46.5765,70749,60,60,45,26,4,18,8,22,NORMAL,6031
197,2018-06-25,Higienópolis-Mackenzie,-23.5488,-46.6519,93324,77,77,42,31,15,15,18,19,NORMAL,7375
198,2018-10-16,Tatuapé,-23.5402,-46.5765,68867,7,7,65,24,29,23,33,12,REABASTECER,6046
199,2018-10-21,Tatuapé,-23.5402,-46.5765,67723,50,50,41,6,13,15,13,35,NORMAL,6051
200,2018-10-30,Tatuapé,-23.5402,-46.5765,70338,42,42,34,24,16,35,26,5,NORMAL,6060
201,2018-11-01,Tatuapé,-23.5402,-46.5765,70070,33,33,28,19,12,30,22,43,NORMAL,6061
202,2019-06-15,República,-23.5436,-46.6434,108749,46,46,57,2,43,12,18,4,REABASTECER,7005
203,2019-07-07,República,-23.5436,-46.6434,108319,86,86,34,11,43,20,17,43,NORMAL,7027
204,2018-11-25,Tatuapé,-23.5402,-46.5765,70810,44,44,65,28,43,30,4,34,NORMAL,6085
205,2018-12-02,Tatuapé,-23.5402,-46.5765,68812,63,63,19,15,15,10,15,7,NORMAL,6092
206,2018-09-02,Higienópolis-Mackenzie,-23.5488,-46.6519,90892,15,15,51,9,16,22,20,4,REABASTECER,7442
207,2019-08-08,República,-23.5436,-46.6434,107764,28,28,25,31,33,9,14,37,NORMAL,7058
208,2019-08-10,República,-23.5436,-46.6434,107298,10,10,11,26,24,3,10,29,NORMAL,7060
209,2018-12-17,Tatuapé,-23.5402,-46.5765,69413,86,86,34,10,3,9,43,39,REABASTECER,6107
210,2019-08-23,República,-23.5436,-46.6434,110024,44,44,53,27,19,36,43,13,NORMAL,7073
211,2019-01-01,Tatuapé,-23.5402,-46.5765,70396,50,50,3,37,31,4,31,37,REABASTECER,6121
212,2019-08-29,República,-23.5436,-46.6434,107365,79,79,15,9,37,17,19,31,NORMAL,7079
213,2019-09-06,República,-23.5436,-46.6434,109754,9,9,22,16,8,35,35,8,NORMAL,7086
214,2019-09-11,República,-23.5436,-46.6434,108945,55,55,59,33,31,13,20,30,NORMAL,7091
215,2019-01-15,Tatuapé,-23.5402,-46.5765,70324,5,5,49,37,15,43,23,25,NORMAL,6135
216,2019-01-17,Tatuapé,-23.5402,-46.5765,69993,77,77,30,29,5,40,18,15,NORMAL,6137
217,2019-02-01,Tatuapé,-23.5402,-46.5765,68274,10,10,6,34,36,25,17,5,NORMAL,6151
218,2018-11-17,Higienópolis-Mackenzie,-23.5488,-46.6519,91624,46,46,48,37,11,39,12,20,NORMAL,7517
219,2018-11-18,Higienópolis-Mackenzie,-23.5488,-46.6519,91934,37,37,40,36,5,35,8,14,NORMAL,7518
220,2018-11-21,Higienópolis-Mackenzie,-23.5488,-46.6519,93147,5,5,15,21,35,23,40,4,REABASTECER,7521
221,2018-11-25,Higienópolis-Mackenzie,-23.5488,-46.6519,91175,60,60,48,13,19,6,27,36,REABASTECER,7525
222,2019-02-16,Tatuapé,-23.5402,-46.5765,67937,33,33,37,39,19,23,34,33,REABASTECER,6166
223,2018-11-28,Higienópolis-Mackenzie,-23.5488,-46.6519,91866,30,30,28,3,7,39,16,25,REABASTECER,7528
224,2018-11-30,Higienópolis-Mackenzie,-23.5488,-46.6519,93014,15,15,16,43,43,30,7,16,NORMAL,7530
225,2019-03-04,Tatuapé,-23.5402,-46.5765,67303,12,12,51,21,32,13,13,43,NORMAL,6184
226,2019-11-11,República,-23.5436,-46.6434,109689,86,86,53,42,7,40,39,37,NORMAL,7151
227,2019-03-15,Tatuapé,-23.5402,-46.5765,69914,75,75,40,22,29,16,9,43,NORMAL,6195
228,2019-03-17,Tatuapé,-23.5402,-46.5765,70300,50,50,21,18,22,11,43,33,NORMAL,6197
229,2019-01-06,Higienópolis-Mackenzie,-23.5488,-46.6519,92989,17,17,31,43,17,34,24,40,NORMAL,7566
230,2019-11-28,República,-23.5436,-46.6434,110328,14,14,57,43,27,22,16,12,NORMAL,7168
231,2019-11-30,República,-23.5436,-46.6434,107633,86,86,44,37,20,19,8,6,REABASTECER,7170
232,2019-01-17,Higienópolis-Mackenzie,-23.5488,-46.6519,90865,86,86,23,12,10,15,30,36,NORMAL,7577
233,2019-01-23,Higienópolis-Mackenzie,-23.5488,-46.6519,92171,25,25,52,31,26,33,1,15,REABASTECER,7583
234,2019-12-14,República,-23.5436,-46.6434,107710,45,45,4,41,15,26,41,32,NORMAL,7184
235,2019-12-19,República,-23.5436,-46.6434,108028,76,76,33,26,40,11,25,12,NORMAL,7189
236,2019-04-20,Tatuapé,-23.5402,-46.5765,67367,86,86,65,3,8,43,20,1,REABASTECER,6230
237,2019-02-06,Higienópolis-Mackenzie,-23.5488,-46.6519,90447,60,60,29,26,9,39,31,8,NORMAL,7596
238,2018-01-07,Higienópolis-Mackenzie,-23.5488,-46.6519,90305,28,28,23,27,14,22,22,18,NORMAL,7207
239,2018-01-19,Higienópolis-Mackenzie,-23.5488,-46.6519,92877,75,75,65,24,12,30,17,10,NORMAL,7219
240,2019-03-06,Higienópolis-Mackenzie,-23.5488,-46.6519,92121,35,35,24,15,21,26,37,23,REABASTECER,7626
241,2018-02-02,Higienópolis-Mackenzie,-23.5488,-46.6519,92335,31,31,43,31,7,14,2,37,NORMAL,7232
242,2018-02-03,Higienópolis-Mackenzie,-23.5488,-46.6519,91890,20,20,34,27,2,14,43,31,NORMAL,7233
243,2018-02-13,Higienópolis-Mackenzie,-23.5488,-46.6519,90189,7,7,26,41,7,21,43,34,NORMAL,7243
244,2019-03-30,Higienópolis-Mackenzie,-23.5488,-46.6519,92099,56,56,65,26,9,32,39,10,NORMAL,7650
245,2019-06-16,Tatuapé,-23.5402,-46.5765,69883,39,39,56,32,37,41,23,23,REABASTECER,6286
246,2019-04-09,Higienópolis-Mackenzie,-23.5488,-46.6519,90900,45,45,65,13,18,5,43,15,REABASTECER,7659
247,2019-04-11,Higienópolis-Mackenzie,-23.5488,-46.6519,93312,25,25,49,9,9,43,34,6,REABASTECER,7661
248,,Higienópolis-Mackenzie,-23.5488,-46.6519,90563,9,9,52,37,37,22,20,16,REABASTECER,7260
249,2019-06-29,Tatuapé,-23.5402,-46.5765,67640,86,86,31,9,29,7,22,16,NORMAL,6299
250,2019-07-06,Tatuapé,-23.5402,-46.5765,67760,26,26,48,24,5,26,34,32,REABASTECER,6306
251,2019-04-25,Higienópolis-Mackenzie,-23.5488,-46.6519,91324,55,55,25,1,38,10,21,26,REABASTECER,7675
252,2019-07-19,Tatuapé,-23.5402,-46.5765,68283,62,62,19,21,43,20,24,19,REABASTECER,6319
